control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
2019660321,HYLA,amphibian,Amphibia,Hyla,sp.,NA,TREE,FROG,SPE,3,NO,NA,VE,VE,S,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-02T00:00:00Z,2019,I,MI,NA,NA,NA
2019660321,LFUC,amphibian,Amphibia,Leptodactylus,fuscus,NA,RUFOUS,FROG,SPE,1,NO,NA,VE,VE,S,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-02T00:00:00Z,2019,I,MI,NA,NA,NA
2019660321,BOG?,amphibian,Amphibia,Bolitoglossa,sp.,NA,MUSHROOMTONGUE,SALAMANDER,SPE,15,NO,NA,VE,VE,S,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-02T00:00:00Z,2019,I,MI,NA,NA,NA
2019660330,DPUM,amphibian,Amphibia,Oophaga,pumilio,NA,STRAWBERRY,POISON-ARROW FROG,LIV,300,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-21T00:00:00Z,2019,I,HN,NA,NA,NA
2019660565,HFLE,amphibian,Amphibia,Hyalinobatrachium,fleischmanni,NA,FLEISCHMANNS GLASS,FROG,LIV,100,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660565,BODO,amphibian,Amphibia,Bolitoglossa,dofleini,NA,ALTA VERAPAZ,SALAMANDER,LIV,5,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660565,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED LEAF,FROG,LIV,160,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660565,DEAU,amphibian,Amphibia,Dendrobates,auratus,NA,GREEN,POISON-ARROW FROG,LIV,100,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660565,DPUM,amphibian,Amphibia,Oophaga,pumilio,NA,STRAWBERRY,POISON-ARROW FROG,LIV,150,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660565,CFG?,amphibian,Amphibia,Cochranella,sp.,NA,COCHRAN,FROG,LIV,100,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660735,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,450,NO,NA,SG,SG,T,W,C,C,2019-11-23T00:00:00Z,2019,2019-11-23T00:00:00Z,2019,I,LA,NA,NA,NA
2019660751,BMAR,amphibian,Amphibia,Rhinella,marina,NA,CANE,TOAD,LPS,1,NO,NA,AU,CA,T,W,C,C,2019-11-24T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,LO,NA,NA,NA
2019660765,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,450,NO,NA,ID,ID,T,C,C,C,2019-11-24T00:00:00Z,2019,2019-11-24T00:00:00Z,2019,I,LA,NA,NA,NA
2019660766,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,250,NO,NA,ID,ID,T,C,C,C,2019-11-24T00:00:00Z,2019,2019-11-24T00:00:00Z,2019,I,LA,NA,NA,NA
2019660766,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,625,NO,NA,ID,ID,T,C,C,C,2019-11-24T00:00:00Z,2019,2019-11-24T00:00:00Z,2019,I,LA,NA,NA,NA
2019660770,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,75,NO,NA,SG,SG,T,W,C,C,2019-11-24T00:00:00Z,2019,2019-11-24T00:00:00Z,2019,I,LA,NA,NA,NA
2019661274,MENA,amphibian,Amphibia,Megophrys,nasuta,NA,SPADEFOOT,TOAD,LIV,21,NO,NA,MY,MY,T,W,C,C,2019-11-25T00:00:00Z,2019,2019-11-08T00:00:00Z,2019,I,LA,NA,NA,NA
2019661427,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,600,NO,NA,ID,ID,T,C,C,C,2019-11-25T00:00:00Z,2019,2019-11-23T00:00:00Z,2019,I,NY,NA,NA,NA
2019661802,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,LIV,100,NO,NA,HK,HK,T,C,C,C,2019-11-26T00:00:00Z,2019,2019-11-26T00:00:00Z,2019,I,AT,NA,NA,NA
