control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,RANA,amphibian,Amphibia,Rana,sp.,NA,NA,FROG,BOD,3,NO,NA,MX,MX,T,W,C,C,1999-08-13,1999,1999-08-13,1999,I,BO,NA,NA,NA
NA,RAPI,amphibian,Amphibia,Rana,pipiens,NA,NORTHERN LEOPARD,FROG,LIV,3738,NO,NA,MX,MX,T,W,C,C,1999-06-29,1999,1999-06-29,1999,I,MP,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,96,NO,NA,MX,MX,T,W,C,C,1999-06-29,1999,1999-06-29,1999,I,MP,NA,NA,NA
NA,RMAC,amphibian,Amphibia,Rana,macrodon,NA,NA,BULLFROG,MEA,19731,KG,NA,ID,BE,T,W,C,C,1999-09-01,1999,1999-08-31,1999,I,BO,NA,NA,NA
NA,RAPI,amphibian,Amphibia,Rana,pipiens,NA,NORTHERN LEOPARD,FROG,LIV,385,NO,NA,MX,MX,T,W,C,C,1999-03-16,1999,1999-06-29,1999,I,MP,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,35,NO,NA,MX,MX,T,W,C,C,1999-03-16,1999,1999-06-29,1999,I,MP,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,149,KG,NA,DO,DO,T,W,C,C,1999-08-18,1999,1999-08-04,1999,I,NW,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,225,NO,NA,HK,HK,T,W,C,C,1999-07-25,1999,1999-07-25,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,294,KG,NA,DO,DO,T,W,C,C,1999-08-19,1999,1999-08-15,1999,I,NW,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,384,KG,NA,DO,DO,T,W,C,C,1999-08-20,1999,1999-08-05,1999,I,NW,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LEG,18153,KG,NA,TW,CN,T,W,C,C,1999-07-12,1999,1999-07-03,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,MEA,27,KG,NA,TW,TW,T,W,C,C,1999-06-23,1999,1999-05-27,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1600,NO,NA,SG,SG,T,C,C,C,1999-07-11,1999,1999-07-11,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,6600,NO,NA,TW,TW,T,W,C,C,1999-07-29,1999,1999-07-28,1999,I,NY,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,85,NO,NA,HK,HK,T,W,C,C,1999-08-03,1999,1999-07-31,1999,I,NY,NA,NA,NA
NA,CYOR,amphibian,Amphibia,Cynops,orientalis,NA,CHINESE DWARF,NEWT,LIV,50,NO,NA,HK,HK,T,W,C,C,1999-08-03,1999,1999-07-31,1999,I,NY,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,750,NO,NA,HK,HK,T,W,C,C,1999-08-03,1999,1999-07-31,1999,I,NY,NA,NA,NA
